# key_policy=split_keyset rounds=8 n_pairs=10000 seed=42
c0l,c0r,c1l,c1r,delta_left,delta_right,v0,v1,label
18487,10287,62057,30254,47710,24065,24600,33863,1
34728,29714,20254,28917,51382,1255,62394,16363,0
24903,9867,3171,53194,27940,59713,18380,50089,1
63999,12182,42377,51425,23670,59255,54889,28008,0
25024,924,58295,46581,33399,46697,25180,22082,1
13625,41278,23294,71,28615,41337,37895,23225,0
3614,18582,54578,52548,56108,34258,18056,6262,1
42924,36376,20754,40463,63166,4119,10676,53021,0
5371,48527,55643,57150,52640,25265,43380,1637,1
59931,46932,20034,53456,42073,26500,23887,40594,0
63048,40135,38358,49982,25502,24569,27279,22248,1
38308,48986,29820,7958,57816,41036,11006,27498,0
13146,17526,11286,48134,8012,63600,30508,36880,1
415,23474,56301,29415,55922,10581,23085,43274,0
42653,45337,33473,19729,9308,64520,6020,53200,1
10698,8627,10892,50601,838,58394,2169,61221,0
56846,42174,49221,4313,7755,46183,31408,53404,1
59703,46020,42834,29580,20069,49224,23283,54494,0
6813,55224,10053,49407,15832,5959,52517,59322,1
20669,34288,31778,26468,11423,58004,54605,6982,0
60318,17195,41083,30402,19429,13801,43189,54969,1
55815,63523,16472,4780,39519,60047,8740,21236,0
5165,59104,33783,200,38874,58920,62157,33599,1
32859,5966,51377,39872,18666,35982,38677,21361,0
39412,17584,30685,41824,60969,59344,56644,54461,1
20696,65213,23347,8960,3051,56765,44645,30771,0
60789,26445,47386,29776,21615,4893,35384,52554,1
21902,20239,47570,59762,60508,42621,6785,20640,0
46716,29881,63926,23779,20426,10330,49861,42325,1
42531,1713,25915,48171,49944,47770,41106,55568,0
40050,60243,2619,13013,38473,55686,30497,14574,1
11280,33810,32196,22660,20948,56470,43010,9536,0
43816,56837,28566,13003,50366,60622,29997,23901,1
63259,16132,31988,44985,35823,37053,51231,54093,0
54166,49243,24141,38640,36315,22187,5069,51389,1
57926,59709,59323,39677,1533,29632,2939,32070,0
60775,35212,24041,31398,45198,62250,25835,10063,1
53210,52907,18606,43000,34676,26963,369,61270,0
28356,37692,1739,17051,26639,53671,65016,17488,1
11262,23736,31086,57612,21136,48564,30534,39010,0
28804,13851,24109,29652,11945,17871,18079,11769,1
53413,54647,36194,57875,24007,14180,1490,28529,0
39069,48462,40343,34051,1290,14413,9683,6292,1
29387,28930,25685,53222,5790,48868,969,43955,0
25723,711,4722,21775,30217,22472,26300,18301,1
50069,40106,6738,39093,55751,1055,24383,33511,0
38862,13787,39270,8990,3752,5829,41493,47736,1
11499,44503,21556,10095,30943,35512,33084,29531,0
8482,45054,37640,7623,45610,45625,36572,36559,1
62179,17062,44492,21560,24367,5790,45125,63988,0
365,17574,53426,19723,53727,2477,17867,40377,1
45354,59625,25977,12030,54355,50711,22979,19335,0
43770,60511,49322,24626,27216,35949,18085,41112,1
10657,25279,31599,33060,21198,58267,19230,64075,0
32223,3434,25648,59013,6639,60399,28853,33461,1
36065,54244,53435,61371,23642,15455,24325,16128,0
6774,51011,7801,20832,1039,38435,56629,20249,1
38868,37682,29356,64190,58744,27020,1254,34834,0
12680,3256,28471,35349,24255,34477,15664,58658,1
34301,53719,41198,11232,9491,64055,21546,35598,0
22043,15629,52340,6156,39535,9473,27414,54392,1
16647,24085,10466,1044,27109,23041,7954,11510,0
10402,42919,57026,47232,63072,7975,36613,26178,1
29044,52550,28784,42399,260,26841,48178,54767,0
3409,41432,24914,57621,27651,16589,44169,32839,1
36101,7494,49544,60651,19597,61869,36931,11619,0
45830,1835,6062,42202,42152,41969,46125,45940,1
24881,27971,64745,30689,40408,6818,3186,35592,0
36730,59604,34769,57237,2219,14145,26542,22596,1
16383,29949,28391,59343,20760,37682,19202,35112,0
29233,30363,42576,5828,54369,24671,1194,45204,1
53920,16470,14518,27182,59926,10872,37622,21144,0
14267,44237,62745,604,49826,44689,39798,63301,1
41402,43322,26192,478,51178,43236,2176,26510,0
49238,59032,55429,10384,6355,52744,9934,61461,1
25773,49263,53546,39357,46471,22994,42178,18583,0
61029,64742,6185,9286,63052,55456,4739,15471,1
6265,55834,48217,6718,42016,49188,49763,42599,0
9961,62083,63207,53480,53262,8811,54378,9743,1
16709,11367,31715,32099,15014,20740,27938,1664,0
52372,53759,31070,16757,46538,37002,7531,14379,1
17182,59297,13105,57416,28719,2025,42175,54137,0
59255,63711,326,62009,58929,2790,8104,62335,1
33812,19460,52725,50107,18913,36799,51216,3662,0
43898,24346,65219,59679,21945,46597,62560,6108,1
60612,55909,38536,16117,31308,58512,13985,43133,0
22332,5844,61140,35667,47592,40327,16872,25991,1
3670,34421,33854,45986,35432,13783,34851,14236,0
58631,28443,34891,16149,27980,20494,35356,46942,1
34939,31055,45282,39996,14489,58739,61748,11486,0
44238,2321,22625,56984,62639,55177,42463,34553,1
56645,43506,42878,40282,31291,13480,29879,14884,0
31542,58800,40520,3938,58750,60114,40582,37162,1
7039,13472,59404,21408,62323,26368,12255,48044,0
9284,27702,18223,8069,25451,29619,18546,22698,1
57085,24342,46962,19216,27023,5126,33259,64610,0
4431,6677,44648,2238,48935,4779,2906,42710,1
37737,26194,43895,40223,14366,64333,62779,13928,0
64767,22178,63441,56645,2862,35815,43613,10900,1
49531,60159,50447,32083,1140,38828,11140,47196,0
9672,37904,50160,7437,58936,35101,45528,57085,1
57060,58809,28413,29897,45081,37232,15197,6708,0
32522,23851,3222,60215,29596,46620,8737,59297,1
12095,59730,26625,33325,18238,27519,50797,59948,0
64414,57464,13467,18963,52997,43627,7142,32392,1
44125,35195,28072,7166,49653,37509,9510,30294,0
13467,31052,59220,30394,54223,4086,19927,37358,1
32751,48692,44013,60249,54274,21869,49627,16564,0
38722,35406,43731,21024,15761,55406,7436,63731,1
58106,36228,5666,25730,62680,59654,28542,29344,0
9269,9008,19744,22761,26901,31705,1797,5577,1
48405,62041,39766,30165,9795,34700,20300,61059,0
45206,31140,26774,57893,55296,39809,51506,35507,1
33149,54945,34634,2904,1591,56825,22492,35858,0
57285,44817,5223,5672,52130,47417,28884,591,1
16513,2275,55780,55181,39269,57198,18530,3689,0
58361,2723,2207,33965,60262,36366,59738,35890,1
52657,49915,58703,48883,10494,31752,3914,23484,0
53168,51438,5782,48070,55590,29480,1886,44368,1
5751,61186,43618,35068,48149,26622,63861,8862,0
62036,20501,11516,20709,57000,240,41537,31769,1
62731,35343,15751,56709,51340,22410,32516,57346,0
56986,16812,8544,61430,65530,44634,40758,52886,1
29895,6856,31646,4700,3929,2196,28175,27074,0
11265,12316,58526,24711,51359,20635,7197,33817,1
6069,4710,62246,3070,58515,6552,1491,63704,0
2934,36047,42156,5655,45018,39640,34745,45755,1
51755,22898,48147,62389,30264,43719,37721,20390,0
21070,27860,4476,17953,17202,10997,16026,22365,1
56649,35827,28419,3638,45642,34245,22202,24885,0
55015,26425,10812,15330,64731,23771,45534,4574,1
40546,40840,12507,5593,44729,35409,490,9474,0
4441,31550,64061,4809,60260,27127,27239,59636,1
45660,11008,2308,6276,47960,13188,39260,4480,0
9149,7969,57626,16599,49831,24566,15516,41421,1
28589,47681,52317,26108,41968,57277,54764,43425,0
3805,17910,16578,47913,19999,65247,19243,64491,1
63557,63348,17217,19696,47876,48004,3889,4017,0
60999,2402,60617,5749,654,7959,59173,64188,1
63453,62245,30599,2091,32858,64270,1272,32684,0
35412,59672,1256,60414,36540,742,25420,61206,1
80,15560,4721,54936,4641,59984,15512,50409,0
53316,65110,50999,65133,6003,59,11794,14682,1
42107,65442,52620,43199,27127,22301,23513,25907,0
11489,25232,58774,22340,51575,13780,20081,45778,1
27262,7755,57341,32309,46467,24702,29749,41416,0
38784,62425,22521,39678,49273,26919,25689,52487,1
21240,2405,63761,13097,44009,14924,23453,51768,0
3058,41773,34488,42588,36170,1393,43231,8420,1
30250,61479,18837,14426,16319,51325,34317,29135,0
21989,16774,61584,37190,42357,53440,5219,25046,1
58079,58168,31295,23653,39136,48989,487,9818,0
43168,39281,19517,18757,58525,53300,12753,1400,1
62763,25345,6382,13979,60869,21914,38442,11893,0
30625,47062,43272,48636,57001,2602,49271,5364,1
39435,24767,7547,59593,34672,34934,64180,62898,0
2523,7356,59048,13552,61299,10316,5479,53848,1
44250,3785,63084,62505,23222,64224,41491,581,0
42956,14430,2165,57038,44985,59024,40850,54971,1
59729,43620,54502,9611,15799,36847,17205,61805,0
2666,29029,26343,55780,27789,43137,31503,48899,1
25218,42932,60086,23362,34868,64758,50486,45556,0
19135,41328,1814,26503,19881,50935,60367,24721,1
36808,29774,16133,49159,45261,46153,64390,65282,0
4127,35647,27770,56798,31845,22241,39712,45476,1
33217,10357,19231,5551,51934,15834,43444,24240,0
37141,53816,18436,52107,55569,6579,17197,33679,1
25744,44351,45286,59595,54390,17908,51631,22573,0
24827,62108,12209,27819,20298,40503,37479,17178,1
12756,7923,61622,39759,49506,34236,12071,27641,0
20066,41719,59537,58774,42739,18273,60565,3335,1
11429,30513,58886,27028,51875,7845,23444,36754,0
12805,42695,23974,13916,28579,37019,38082,27642,1
34283,65270,55961,35396,24434,29874,31517,20701,0
48361,4766,65159,21910,17006,18184,44663,43793,1
2448,19981,40690,24666,38754,11863,18333,65192,0
26939,59320,16321,18450,22266,44970,36483,30675,1
52187,64198,2094,15167,50165,49657,12573,13073,0
64123,49485,17792,19225,49147,35412,15158,3737,1
39791,44317,63569,41554,25406,3919,13938,23043,0
28331,6566,9834,59635,18625,61781,30477,52889,1
3425,12297,27313,46168,26576,33873,15720,57065,0
59369,8053,58959,20738,422,20087,63644,46925,1
927,60883,43924,57547,43019,3352,61004,19295,0
45126,7797,22838,38734,59760,35131,44595,52856,1
9253,60443,39884,58360,49129,4067,51262,30772,0
43748,48225,61968,5826,22772,43683,5765,58578,1
56031,53023,39846,10316,16761,59219,5568,46058,0
25002,49034,35303,6439,59469,42669,56864,37056,1
59879,5099,59299,37830,3652,32813,64012,29797,0
46828,42323,58963,50400,20671,25011,5055,8883,1
15093,12637,5620,50310,12033,62939,2984,53618,0
57030,55612,34644,42137,22930,32165,2042,9165,1
53304,64654,39367,63996,18943,1394,11446,24635,0
63906,17384,5055,53390,59933,37734,47690,49969,1
45161,17326,5886,3061,42647,18523,62407,7435,0
65085,6800,63263,20812,2338,19420,58541,42579,1
23418,22181,19096,49105,4578,59764,3551,62793,0
26567,24930,20322,27824,10405,3538,1701,9170,1
61968,34600,35164,30743,31564,65343,30008,61771,0
44071,6331,25647,64596,51208,58607,46236,39035,1
29728,36815,28967,151,1287,36696,64495,29104,0
16824,12988,55452,4462,39204,9170,29444,51698,1
17942,26176,33298,9159,50180,17799,8278,41429,0
3690,25753,28431,2455,24933,27918,27379,26264,1
41044,11289,16353,59638,40885,50415,35917,55063,0
21932,56317,13378,41320,25070,31381,36433,38186,1
42982,11374,10648,64354,36478,55052,35720,54010,0
4429,7335,52506,42704,56407,47735,3562,27594,1
11942,49198,58387,64885,51893,15707,61064,6502,0
57460,44693,48227,13284,23575,40305,20193,36743,1
47629,338,55070,42688,27923,42898,47967,29150,0
21665,6868,3700,51587,23253,54103,20085,51191,1
50365,15917,40575,8097,23234,8588,64144,33246,0
13276,65012,12302,57262,978,8794,52776,61344,1
4152,20875,26503,29470,30655,8853,16819,5273,0
31427,17788,43458,5525,54017,20713,16319,48215,1
10843,12047,61822,30580,56101,22651,1364,34314,0
22846,17045,27744,13786,13662,30543,7083,22970,1
26904,57546,30650,30486,7842,38876,35282,172,0
21964,12871,43103,26528,64915,21991,26507,53247,1
38497,29047,46160,46311,8753,50576,59158,183,0
62271,40385,11747,31744,57052,57793,28414,20963,1
64461,61023,50454,33404,16091,27683,5522,18282,0
