# key_policy=per_sample_key rounds=7 n_pairs=10000 seed=100006
c0l,c0r,c1l,c1r,delta_left,delta_right,v0,v1,label
9998,32810,44489,57189,35527,24399,42788,29356,1
27429,50747,21830,60359,15971,11772,44318,48769,0
35751,2886,23406,8213,53449,11091,32993,31611,1
20113,21830,30559,1466,14798,20732,7127,29413,0
17078,4353,21458,6090,4452,1739,21431,17432,1
64314,22188,1030,60491,65340,47847,44438,59469,0
50530,18167,48780,33868,31726,49851,33685,15040,1
63271,9238,64696,19803,2975,26957,54065,45539,0
37792,5613,20658,3285,49938,6456,34381,23655,1
4115,62056,15084,49769,11007,12289,57979,63621,0
12718,35560,43785,3266,39591,34346,47942,42955,1
65516,56856,51761,26329,13789,47297,8692,44264,0
23085,38061,2508,12388,21473,42185,52864,14760,1
8880,22290,52415,20898,60943,1712,30114,40221,0
6054,32069,52038,11958,56544,21491,27363,58864,1
28631,46344,42620,19438,51627,65254,56031,60818,0
58974,22186,24880,58937,34670,45203,45300,34569,1
61577,34238,10949,13996,55884,45842,30007,7273,0
54186,18054,48094,3238,26740,18976,38188,46968,1
5217,51552,32586,24151,27435,38711,56577,8477,0
14475,47224,48193,29964,33994,52596,33011,51533,1
65361,60068,29881,8734,35816,51386,5621,22183,0
9158,62372,39146,26850,47916,39750,53346,61448,1
14840,54766,992,16469,14872,38331,60438,17333,0
12104,11848,65505,7832,53417,12496,256,57721,1
61703,9975,181,63654,61874,56913,55280,63507,0
1761,14961,17606,17275,16935,30986,15504,1981,1
58278,39936,45030,31280,19520,58928,32678,54742,0
39141,16777,8772,4760,47777,21265,55660,12508,1
24830,28423,46553,61492,54567,40755,4089,17901,0
63137,32251,38391,51633,25430,46154,35674,23622,1
32900,27419,41175,30450,8275,7657,60319,54821,0
31444,10526,54198,3494,43362,9400,21450,56848,1
11046,62768,6126,17018,15560,46922,56854,21908,0
39839,11579,45180,25873,11235,18474,46756,54637,1
11977,10247,51644,60285,59253,50042,1742,8897,0
62408,16041,65524,49813,3132,64572,52577,15713,1
