# key_policy=split_keyset rounds=5 n_pairs=10000 seed=42
c0l,c0r,c1l,c1r,delta_left,delta_right,v0,v1,label
46758,2510,7176,3954,43694,1724,49000,4986,1
1343,10148,49999,3723,50800,10543,8859,52676,0
33888,28797,62374,4809,30662,25268,62493,57711,1
20171,34627,4970,3173,23969,35622,51592,7951,0
36909,30872,50471,41168,21770,55368,59573,26103,1
4095,32573,25083,63761,28164,34348,28866,39146,0
24814,21633,42949,5786,50987,16923,13423,45407,1
35323,5271,881,28295,35466,31248,40300,28150,0
62054,57984,31748,10400,36450,51744,4326,21668,1
14445,60099,65495,39678,51130,28733,53934,25897,0
35011,2906,10789,64830,41702,63076,33689,55067,1
34244,8305,12124,48911,43672,40830,42421,36947,0
52261,29909,25623,24629,43058,5344,47344,1058,1
52839,33359,36560,23560,16567,56903,19496,53976,0
24836,28037,2318,29069,26634,7176,3201,30851,1
12479,14434,4058,46536,16229,36266,2269,47634,0
44987,28281,6986,13780,46321,23469,49602,11934,1
59698,28719,58383,10050,3389,22381,39197,49997,0
29614,25790,56784,5729,44670,29407,5904,52145,1
6515,34202,2246,56743,4533,22589,40169,54625,0
47469,7166,31711,13725,49842,11875,41619,20034,1
38653,18000,47225,6358,11908,24198,53421,41135,0
9917,20618,10427,10748,3590,31094,30263,327,1
41759,40024,37501,35517,12642,5861,16199,6336,0
54869,56292,49790,53104,5163,5268,3505,3342,1
23132,21116,15402,39478,26230,51274,2080,42524,0
43339,51443,9557,14367,35870,61676,25016,7498,1
57115,46846,28053,43859,45710,7597,27109,50886,0
44669,16862,33317,28258,11352,12220,61347,60487,1
41569,57454,42006,33857,1655,25647,16911,8279,0
33810,42145,28224,45633,59986,5856,8371,56321,1
60322,38017,60922,54084,1624,18373,32547,16062,0
46424,59374,50606,25530,28918,33876,21174,42516,1
14305,11014,31554,29594,19619,22684,7399,2264,0
25826,53123,56931,26528,47745,43043,43873,47555,1
46032,63384,35870,2159,16334,65527,17480,33905,0
21272,43832,52206,44845,39158,1045,63520,25795,1
55702,18010,1490,13218,56388,30200,40908,13936,0
48970,16445,12220,64617,37110,48212,65399,54229,1
20464,23795,12332,60209,32732,47042,4867,56093,0
7149,23094,35807,48758,36914,58432,16859,13737,1
39567,54312,46110,20906,11921,34178,20135,58804,0
16027,21292,338,63585,16329,43853,28087,63795,1
19576,18362,11589,23855,24893,6805,3010,28778,0
13162,14796,50400,39860,63370,41592,2726,24404,1
19223,48827,31583,51657,12360,30578,62892,45718,0
52208,4119,8170,175,54298,4280,56295,8005,1
18610,60995,21693,30227,7183,38992,42737,8878,0
47056,31311,974,45715,46110,51420,52639,45405,1
20233,8172,36189,35544,49748,38196,20709,1925,0
30731,37691,61881,34170,35250,5697,60208,29891,1
47485,28222,22639,8751,57618,19473,55107,31296,0
8369,42334,47331,44072,38994,2422,34287,5323,1
37688,57517,23826,1151,52778,58578,29589,22893,0
59603,25241,28961,51145,39410,42320,35402,46824,1
6468,45464,54242,37135,51878,8343,43228,17133,0
29909,4988,16587,35568,13342,39308,26537,51771,1
38003,49227,16457,63520,54330,14443,21560,47209,0
13710,26109,22456,29529,25142,5796,20595,9441,1
44526,50159,44301,61553,227,13214,28161,23932,0
64919,26166,27565,17614,38458,8952,39841,12131,1
3809,1105,19915,33985,17194,32912,2736,51466,0
21778,32367,1520,63981,20706,34690,11133,64541,1
17630,50439,10350,39165,27824,24058,33241,45203,0
55931,48021,24165,25401,33822,55468,25070,15708,1
20306,6163,54687,45071,39629,43036,22337,26000,0
39404,57141,60442,9841,30198,63812,18137,51819,1
13413,2060,43392,14752,40421,12716,15465,36896,0
36578,1012,661,36290,35959,36406,36118,36695,1
3971,7702,50337,8149,52002,451,4501,56180,0
58218,44868,36680,18213,27682,59489,19502,51309,1
16563,14867,11542,55702,28069,58245,31392,62592,0
19744,54774,2366,64874,17438,10396,39126,62548,1
30501,64819,46189,37776,49992,28323,35350,10237,0
20101,28632,57075,19436,36982,9268,8541,38175,1
18214,56940,30743,64546,16177,8782,39242,33845,0
5411,30402,33132,56842,37967,43208,25569,24422,1
63567,45467,42731,57664,24228,20699,18900,18347,0
64532,47724,20453,844,46065,47392,18040,19625,1
16957,1826,9380,45231,26265,46989,17695,37899,0
60489,55007,22612,41505,46109,29950,14998,64117,1
8454,54760,39950,21148,48392,34676,62702,52882,0
42039,42501,10286,63320,35865,20829,562,57206,1
44010,49891,15838,22997,38452,39734,26889,25611,0
40653,21961,52507,4383,21462,17622,51972,56324,1
47225,11627,57060,39207,26269,46156,38162,18371,0
9373,25949,3711,43581,10978,53088,16832,42050,1
25143,937,26477,11186,1370,10267,24990,19679,0
24177,51007,52847,11203,36894,60668,39246,58796,1
5322,26637,850,14332,6040,24561,31943,13486,0
10817,55098,65346,43716,54531,32254,64891,21894,1
2380,39995,23392,27888,21036,61643,38263,14224,0
38251,57547,50901,46725,21438,22094,30112,28752,1
19583,37086,27910,13039,8569,41521,56481,24553,0
27298,22981,6792,26013,28714,15448,13159,32533,1
6575,44722,21107,41672,19420,3194,46877,61627,0
48857,16400,991,22997,48390,6597,65225,23050,1
8929,29587,20409,49815,27992,45316,20850,36142,0
1269,46838,38611,34898,37414,16036,45571,7809,1
39747,24443,47825,34141,8594,55846,50232,16268,0
13488,11773,57546,13589,54394,6376,6477,54751,1
6962,53875,36986,27676,35656,48751,51521,64614,0
18766,50443,53544,2556,39014,52471,35909,55508,1
41775,24176,37643,33730,12324,56754,64863,4297,0
28838,19384,6220,65328,26858,46216,15134,59260,1
13220,30283,27246,41399,22986,55292,17903,52185,0
49001,2014,36719,43787,12294,44245,47287,9316,1
41688,19099,60870,42272,20254,61371,59459,18662,0
53358,7029,2656,52521,55822,54876,51995,51017,1
40692,4842,3515,5650,37711,1272,35870,7081,0
27934,24654,33648,33506,61038,58028,3408,402,1
45610,43522,56212,29132,27070,56270,6184,43608,0
27132,19829,55194,6065,48742,23236,9353,49195,1
30881,3055,50059,16280,47914,13431,29518,64531,0
39611,25604,62198,23371,26701,16207,65215,43453,1
53159,61420,12830,63122,64953,6526,8267,50316,0
51429,21918,53199,18864,1834,7214,40315,34431,1
50614,50718,3177,41942,51679,26056,936,44991,0
13958,56527,18676,55276,32370,2851,59977,40728,1
1743,22455,34192,32595,33631,10468,20856,64195,0
40158,25069,21728,42449,51262,50236,64819,61745,1
50249,28359,61667,89,13482,28318,43662,61626,0
57181,46597,56463,8548,978,38753,26968,65003,1
9550,61924,23284,2489,32698,63581,54442,21325,0
60053,22980,62372,55227,6449,36479,45905,9247,1
31624,12182,38816,43420,60456,34314,21534,15932,0
39170,47627,24572,24774,50942,56013,8969,16186,1
28281,37721,48144,51224,53865,23361,64800,29704,0
57417,11217,36459,2449,28194,8768,52120,34810,1
42896,35846,57574,8892,18294,44730,11158,49754,0
55902,17938,9580,53375,65330,38509,40012,62739,1
41349,1994,37222,44812,12515,43206,42575,15978,0
52480,59106,2262,28662,50646,35092,11234,26400,1
1429,59717,65525,36388,64096,26465,60624,29137,0
64573,40157,37491,34721,28238,7036,24800,5586,1
35161,36145,2341,22615,32892,54630,1128,20850,0
63455,38620,8053,37255,59562,1883,24835,36594,1
61524,61905,14568,38194,51388,25827,389,44506,0
12849,31125,65364,8118,52581,26147,19364,57570,1
48715,26152,23980,47319,58343,57087,55395,58747,0
4202,30469,11184,26924,15322,7721,26479,17052,1
52361,51754,48519,19770,28942,34576,1699,61629,0
6844,35168,38106,19444,36454,49812,37852,57134,1
40579,60589,40275,8297,976,52420,29230,48442,0
32149,45191,41543,64311,57298,19376,52498,22896,1
8515,45023,16456,55380,24843,30603,36508,38940,0
60050,33777,8779,55339,51417,23514,26979,64096,1
43435,55269,41120,16399,2315,38890,32334,57519,0
38404,3878,719,5434,38091,6684,39202,6133,1
1805,27079,474,33326,1751,60393,28362,33780,0
1471,12258,2938,3685,3781,8583,10845,1311,1
25361,2070,2641,57421,26944,59483,27399,59932,0
5114,33562,33300,24150,37358,56652,37088,56386,1
20154,24655,21736,34656,6738,59183,12021,54152,0
63843,45287,42373,8435,23782,36884,18820,34166,1
17941,23770,64659,26145,47750,15099,6863,39602,0
24048,56005,54694,3665,34902,54420,34613,56311,1
56045,46315,5180,28314,52945,55921,28166,31398,0
37194,52011,7996,367,36470,51780,23137,7763,1
50916,62207,59794,45182,12150,17025,13339,23020,0
36446,50125,27292,50061,58562,64,19859,43281,1
60257,33522,40739,10070,29762,42404,27027,47221,0
14636,32067,57146,1927,58902,31428,17519,55485,1
55851,42328,7705,21081,50226,63233,32627,19520,0
47817,32213,48587,5815,1794,27490,50972,43900,1
63553,9578,11941,36648,55012,43586,56619,41357,0
26013,28788,35655,53772,61146,41592,5609,22859,1
42307,34430,52198,63869,28325,32515,9021,12955,0
43735,450,24197,54,62546,500,43797,24243,1
33206,30352,24095,21064,57257,9432,63270,3159,0
34977,47085,50783,64864,20222,19085,16204,15167,1
10269,16989,34317,12201,44560,28148,27200,43428,0
1252,33630,12618,14945,13742,47423,34746,2859,1
9717,26082,54097,25458,63140,1680,16407,45091,0
47594,33189,14764,15729,32838,48340,14415,1245,1
