# key_policy=split_keyset rounds=6 n_pairs=10000 seed=42
c0l,c0r,c1l,c1r,delta_left,delta_right,v0,v1,label
28575,18599,9998,6854,18577,21089,10040,15816,1
27754,62202,26581,24057,3007,44803,40592,14892,0
31238,48115,11059,24599,20789,56292,49653,19236,1
3176,4454,61699,49303,64875,53745,7438,12692,0
12566,54135,4852,37302,9186,17089,57953,33602,1
5848,59949,33872,24599,37512,35386,64757,58439,0
41212,62201,12375,27199,37035,39110,20997,23144,1
33781,53673,55506,25295,23335,45926,21084,47645,0
53049,17722,20165,60485,33276,43391,35331,41600,1
57381,19242,28651,1041,36814,20283,43791,27642,0
21182,32726,34631,29628,54777,3178,11624,62715,1
4959,37531,52558,12656,56849,41963,33220,64574,0
37540,16881,56372,23777,20112,7440,54101,32981,1
9091,10941,36685,65388,44238,54737,2366,28705,0
61129,22748,5393,54052,64472,35832,46613,50741,1
11166,51734,62650,9112,57124,59790,57736,55074,0
43881,4748,33979,21483,12242,16743,47589,55120,1
42266,26023,13329,43289,37131,52414,49341,40200,0
8368,45641,22793,141,31161,45764,37625,22916,1
15292,11734,14792,20311,628,25217,5738,30367,0
56287,46119,55355,3663,996,47720,28664,54900,1
5852,3997,23527,14527,19771,14114,6465,25432,0
50008,33137,43458,3634,27290,36675,16937,42992,1
41208,53658,65159,54385,24191,1515,29026,10998,0
21548,15295,8008,8843,19300,6452,28563,15811,1
26843,8490,36165,58783,58782,50357,18929,26842,0
42641,34142,9405,50369,33324,16799,9167,57468,1
41535,31173,39597,14307,14482,20006,56314,44366,0
42818,41019,8990,39575,33884,15020,1913,47497,1
34398,2021,37989,34147,4667,33414,33211,4358,0
28770,58084,35542,17360,64180,41268,37510,51462,1
1864,21838,5135,22812,4935,3154,20998,19731,0
19627,54032,5302,39519,22557,18767,40891,36585,1
12013,33525,15112,62817,5605,30612,44056,52841,0
7175,8712,42775,14742,47888,7070,15887,40577,1
2462,55293,54502,62810,56696,8871,56931,8636,0
30788,54438,12126,37864,22298,18254,44258,48310,1
16731,22578,58107,11379,41888,29761,6505,52872,0
8966,9203,33397,29650,41331,20513,245,61863,1
30662,1035,2501,42242,32259,41225,29645,44231,0
65301,38860,46837,20271,18912,55523,26841,63962,1
53350,32965,44073,60032,31823,27205,20643,18089,0
31479,13894,28477,36538,5578,47356,19633,57735,1
13906,10427,59785,40244,57307,46479,7913,29885,0
60242,3170,47197,54927,21263,56045,59184,28370,1
39554,24684,65388,55371,26094,47143,64238,10023,0
28741,12313,21765,22457,9536,26528,16476,700,1
54446,28065,30406,44683,41576,49962,47375,55373,0
3081,58676,22829,37731,21796,30295,59709,51790,1
56355,41875,43867,32825,30584,9130,32688,11106,0
65443,45901,44245,47423,21366,2674,19694,5610,1
29009,51624,6206,36994,26991,22826,47353,35004,0
3057,40587,32759,53077,29702,20958,38266,45218,1
5921,38294,28619,32311,30954,60321,33463,4604,0
16752,51989,16817,24214,193,38275,35429,7975,1
61501,13919,40769,56191,28540,60704,50786,17470,0
65000,45080,25340,18750,40724,63782,19952,11202,1
54244,53963,65079,7860,11731,52351,303,57475,0
30535,57522,4391,56386,26208,15600,38901,52581,1
8081,4142,46352,29911,43649,25849,4031,49607,0
43626,12979,41982,45255,2452,33396,39129,4921,1
21663,17883,35245,39595,56626,57200,4420,4870,0
44403,21710,55186,12325,31457,25835,63933,59319,1
7683,2588,60126,35112,62685,33588,5151,25590,0
35821,26043,5457,39348,40636,64527,61014,36069,1
30069,5433,9854,58944,21259,62329,24652,49214,0
62443,36668,6090,36366,58401,306,31959,39364,1
50172,58316,11131,52731,59527,11831,8240,59008,0
11199,9327,21865,25187,32470,17932,4048,14090,1
20401,14313,2266,30606,18283,16487,30808,32596,0
5300,43430,18941,21864,23881,64718,48402,7317,1
10443,49287,36271,60404,42340,11123,59468,26203,0
27085,15894,1569,62346,28652,52636,22491,62891,1
27959,39416,19438,1452,9945,40020,62671,20034,0
47776,1473,62332,56525,18908,55564,48993,12209,1
37081,59754,37169,25018,488,35024,31155,61579,0
60965,13612,58821,40430,3040,43202,56073,30763,1
9187,58765,51941,20454,59654,43627,50798,34051,0
31978,38232,21861,22613,10639,52493,59826,3376,1
7419,115,26021,42779,31070,42856,7304,49854,0
9222,32633,1120,36070,8294,62367,23423,34950,1
37169,50834,7375,22206,36350,36908,22435,19057,0
62552,27726,45757,28638,18149,912,38934,56675,1
51274,50117,17952,8565,36458,58032,2959,26453,0
56745,35468,25622,8298,47551,43750,22309,17532,1
30586,49878,13637,20955,16959,37645,46508,25758,0
38441,860,41430,2336,14335,2684,38261,43254,1
2315,1967,32230,54062,29933,54401,3748,44744,0
31303,26296,55523,30703,41636,4439,7423,44812,1
40925,16360,49129,24601,8244,24561,41013,57328,0
40794,50097,62998,23812,26956,40629,23787,43794,1
30926,2080,24869,53988,6635,56004,28910,46017,0
11661,44706,63594,8828,54759,36062,33583,55830,1
43674,59872,6693,53657,45247,14457,17274,52156,0
10065,16452,52249,23148,60232,6696,26389,38517,1
53749,27455,21628,57182,34185,46177,47818,35618,0
9854,9791,49711,42362,58449,33605,65,26453,1
63040,14349,63150,64753,238,50428,52813,2655,0
10420,62318,42804,34430,36736,29968,56282,8522,1
30672,2621,47539,44229,52835,42744,32237,5494,0
11772,39432,26956,48408,17584,10000,47092,54356,1
1023,18992,21610,58395,22421,44587,18895,45169,0
38688,33551,44323,35539,14851,2524,5167,10224,1
63458,36387,53436,57270,10078,20885,31169,3850,0
21473,32000,23576,41179,4089,56795,12001,64707,1
40329,17572,23984,56174,49209,40906,55597,34526,0
10242,14202,31095,54617,20853,57891,8056,44078,1
62944,57229,15611,43129,51483,30708,10861,38018,0
7285,29089,26717,23802,29736,11611,28116,13479,1
35828,49244,64510,41910,28682,25578,19368,22600,0
7363,40442,57859,59785,65216,29811,33081,2954,1
31004,53526,7673,56008,25829,3038,43018,50993,0
20991,25642,23255,1043,2856,24633,13781,24260,1
41033,36853,47542,18390,6655,51235,12220,65120,0
36529,7840,7352,29077,37385,28469,36881,27949,1
10090,39129,10775,61532,3453,26757,49075,55883,0
11585,31544,58657,50144,51296,47320,22137,9921,1
30043,27936,13084,48198,17991,53606,6267,36698,0
41510,53529,35687,54484,10561,1485,29503,24499,1
15411,25326,27049,38116,21914,62986,24285,64845,0
23723,56094,9719,45745,31068,27055,34741,38726,1
30424,52677,48301,48585,51829,28684,47901,356,0
34028,23802,46130,12706,12510,27992,55318,34192,1
12533,63334,19637,27217,31808,40247,51091,9956,0
47554,57043,7673,17174,42043,40389,26385,24303,1
53884,27684,30778,56904,43590,45676,48728,42610,0
