# key_policy=per_sample_key rounds=8 n_pairs=10000 seed=100007
c0l,c0r,c1l,c1r,delta_left,delta_right,v0,v1,label
20857,40866,49531,61474,36866,28544,52955,12633,1
64052,33514,9645,22452,57241,54622,30942,29209,0
6457,61964,4946,37106,2667,25342,60213,33696,1
18590,7946,14160,34209,32718,39595,22420,45809,0
10222,8592,9145,60491,1111,52699,1662,53234,1
10527,51659,41936,60175,35535,8900,57556,18655,0
51868,2162,52699,9172,1863,11174,49902,60943,1
62264,50727,27179,47443,39187,32628,13599,54136,0
21975,59197,17839,64328,4216,7285,45802,48871,1
54449,44618,6523,36458,52682,8224,31483,38673,0
6305,51333,56130,48514,50147,29959,53284,26304,1
9947,36684,27079,10496,20252,42572,43415,16583,0
20373,46989,42684,36235,59689,14854,63512,11063,1
47014,26063,21668,40639,58114,64368,53865,51739,0
11392,16506,65075,554,53939,16976,27898,64537,1
49470,44876,16363,42872,65237,2100,28274,39059,0
10117,59759,41907,53128,33846,9959,52970,27707,1
11802,22566,5270,56028,14988,33530,30268,52810,0
57584,25279,20125,19488,44653,11935,33359,701,1
63928,50368,12587,24154,51347,39578,15736,28529,0
7385,12767,7809,62693,600,50490,11526,60004,1
23368,21768,11424,22195,30696,955,3648,31251,0
36526,39305,20652,35774,56834,4663,5927,56082,1
29,62199,41569,32997,41596,29202,62186,8836,0
9135,5838,20488,63070,29607,57488,13665,42582,1
13315,40251,14267,25287,952,65532,43320,21884,0
44271,9598,38997,6684,13498,16226,35217,33353,1
59551,32338,19092,33978,41483,64232,38605,52782,0
18437,12212,9586,61557,28023,57281,26545,54535,1
12559,46502,33834,61507,46373,17893,33961,29801,0
53104,26338,7037,26592,54285,258,43410,31901,1
57510,35728,22043,53815,46781,22951,27446,33836,0
35611,39496,11842,2862,42329,37222,4435,9580,1
6771,30471,33470,61884,39117,34491,28020,29442,0
32681,28670,1311,55090,31414,47308,4183,53805,1
29217,18579,46923,13773,50538,32094,15026,33414,0
60175,748,5011,8479,63644,9203,59875,12940,1
34182,63500,21314,59498,54980,4198,32138,47912,0
14652,5510,12933,25216,3001,30470,11450,20485,1
19874,47401,38660,28864,55974,51689,62603,59332,0
38126,24778,6530,1521,36204,25915,62500,7283,1
9245,52235,41307,27787,34118,41088,59414,52688,0
7064,57279,14291,26132,11339,47531,50215,20935,1
15677,28596,8830,26536,8003,2076,21129,17878,0
37513,54267,47668,24988,10429,45671,16754,56232,1
32025,53504,42497,56826,56088,3322,44057,31739,0
5686,19194,28969,54773,26399,40719,23756,42204,1
27981,45779,20439,35850,8858,16089,57246,50141,0
26199,6402,31482,12276,7341,14070,32597,21774,1
6512,9174,44075,20182,46427,27904,15014,58109,0
53763,43281,22482,29854,34257,56719,31506,9036,1
61380,14541,30623,11950,39003,5731,55049,22833,0
10425,104,16114,65144,5707,65040,10449,49290,1
29733,32363,49555,53909,46518,44286,2638,4870,0
52870,2045,24193,15337,36871,15380,51579,25960,1
31344,45031,50928,31922,48256,54101,54679,47682,0
27427,992,48814,32787,54669,33779,26819,16061,1
27401,1931,24673,18334,2920,16405,27778,10239,0
13819,10887,2672,59653,16267,50050,8060,58229,1
40404,63578,10315,38343,46495,28061,25998,48524,0
58374,19970,64806,55970,6432,38048,43524,10116,1
11831,38172,22430,7234,31145,35166,47915,19420,0
21907,562,44771,63405,64368,62879,22433,22862,1
48644,49517,41884,4371,7576,53374,32617,45711,0
15250,54111,34143,11106,48845,63549,59597,44605,1
47119,28664,32358,47018,50793,55378,55287,51660,0
6833,45557,13110,32448,10631,53045,43844,19958,1
5712,23701,62015,63877,58479,42256,19141,3002,0
63746,33605,18853,12193,45223,44260,31303,26116,1
23348,64365,36258,34986,54934,29639,41049,1288,0
35765,59553,20644,6798,56081,61999,25364,18986,1
34040,57911,51638,26365,19790,33994,26319,44875,0
13245,7978,4959,18550,8418,22364,11415,23337,1
58101,61077,13783,61344,55074,309,3168,55927,0
56728,156,30576,47376,43752,47500,56580,52832,1
44856,48425,23986,9155,62090,40682,4625,32369,0
13792,41949,9773,45988,5069,4217,38461,38281,1
5515,20594,7871,37911,2868,50277,17913,35496,0
19042,7855,64515,38457,46689,34966,21709,27194,1
2091,10956,21522,45629,23609,39153,8935,58927,0
47104,38079,285,25896,47389,61847,11455,25653,1
21513,8474,33088,42759,54601,34333,29971,9799,0
55941,60226,12047,38316,62858,32494,12743,47779,1
41576,40206,49029,18358,7661,55992,16230,63539,0
32206,44924,30194,43214,2108,1970,53938,56636,1
24159,55990,51852,31351,38099,41153,34025,45307,0
49044,39402,17062,30639,64818,60997,9854,13577,1
23454,63155,17751,62233,7881,1450,44333,46670,0
31713,65421,17000,11866,14729,53719,33900,27698,1
36830,45538,28498,49534,57484,28828,15932,44588,0
56907,1306,39945,21343,16962,22085,56145,53078,1
34342,35759,17330,12706,50580,47629,3465,29200,0
40669,38807,62115,32481,27774,59766,2378,35906,1
37397,26353,4746,6034,32927,29027,62692,1304,0
3581,20658,60868,12894,57401,25324,23887,57242,1
43296,65511,23729,58112,62865,7399,22215,49073,0
34019,33413,52845,4239,19086,37386,1638,57058,1
63487,59427,60125,58821,7458,3558,8156,3864,0
39027,63116,62386,1640,27585,61668,28415,62938,1
28513,25225,10113,56262,18656,47439,3560,64583,0
50043,41559,22614,30707,39725,54692,24876,12197,1
1573,9712,28760,34833,30333,44513,9173,63561,0
1758,50488,17107,9966,17421,58326,50150,25661,1
3226,64321,55110,723,56284,63890,63451,54677,0
45915,11832,25310,23849,53637,29457,40291,16375,1
28641,46323,32699,2484,4186,48455,56082,30223,0
45347,15157,33327,26202,13068,23919,35350,58485,1
36190,27418,33317,28307,3963,1417,58948,60598,0
49562,60069,39115,42310,22865,20451,11071,15757,1
61352,14948,29528,45307,40176,35487,54732,50083,0
56358,36032,45971,14379,28597,46315,20710,35768,1
36975,47718,9443,8917,46220,39091,10761,1590,0
11925,4953,10112,28078,2325,32503,15820,18990,1
46532,45472,57906,64080,22518,19440,1124,6242,0
28044,16865,18177,8897,10893,25376,11373,26048,1
2895,17300,10787,44419,8556,60951,18651,34720,0
41071,27527,41181,36341,178,58994,52200,11560,1
43020,19203,25128,61204,51748,42007,58127,36156,0
32925,55542,10948,43105,43609,28823,22635,33445,1
50157,48963,49328,54725,861,27270,31918,5493,0
52372,50755,46488,41700,30988,25767,2775,6012,1
27595,15260,23554,52732,14281,63072,20567,37374,0
14700,39272,38282,27166,44262,62326,40964,65428,1
59274,36419,19972,32431,43406,61676,27081,12459,0
832,40680,9711,30999,9903,59391,40360,23800,1
27676,8627,25479,25442,3995,17105,19887,229,0
60871,30499,17589,3125,43378,31510,39652,18560,1
1812,9171,38643,27550,37351,18509,9415,64877,0
63428,21915,8533,46219,54929,57616,41567,38366,1
26156,48685,56113,3314,48413,45791,55297,55235,0
28206,63238,9008,15478,19742,52080,39208,8006,1
24414,2319,22196,33915,2538,36212,22097,53967,0
35274,31394,10438,16161,41228,17795,62312,6119,1
32966,61293,8742,18377,41696,43172,28587,26095,0
32752,10602,61420,47487,36892,36885,22170,22163,1
62441,39580,3254,63407,65375,27955,26997,64281,0
57074,60712,25457,1791,48515,60375,13274,25998,1
17501,14453,39236,20343,56601,30466,31784,54835,0
50426,59373,8689,42236,58635,17169,8983,34061,1
34856,9955,52704,1219,17864,8736,44747,51491,0
52261,25080,50958,63018,2859,38866,44509,12580,1
18473,1761,35955,54670,50266,54127,20168,23037,0
45621,25414,49885,58560,28904,34694,53619,9757,1
2284,5295,39848,1751,37700,4728,7235,40319,0
40481,24424,17628,28535,56061,12319,49481,11179,1
59795,33827,27394,24905,33425,58730,28080,2635,0
54314,60294,59977,24750,15971,35624,16300,35559,1
6701,13581,11091,10955,12670,8134,12064,408,0
2311,58479,29028,55287,30819,13208,60776,42643,1
21130,26699,50398,607,38484,27156,15041,50817,0
23113,45588,42525,51615,64596,31627,59485,28546,1
57513,39713,53379,50607,12330,24206,31624,5420,0
53395,34604,50082,65217,4913,31213,22463,15715,1
51105,19839,50347,59013,778,44026,35550,8750,0
46837,12892,65287,64757,18930,52905,33961,1010,1
63009,47369,59542,40320,7863,9353,20264,29974,0
39442,678,2403,49266,37745,49876,39092,51473,1
19933,21202,47063,44397,64010,65471,7951,6842,0
40945,6307,32112,64094,57985,58109,34642,34606,1
49442,17812,32665,7155,48827,24167,33974,25706,0
46607,32293,57135,13045,26912,19664,51242,60890,1
19088,65215,4517,11601,23349,54254,46127,15604,0
65241,31314,21227,13044,44082,18598,33931,24607,1
52608,48827,35895,57733,16823,24382,29499,28082,0
28711,35329,18107,31796,13980,63029,64038,14991,1
29821,45197,63177,5786,33460,42519,50416,57427,0
49772,4983,61322,45405,11750,41514,53531,24279,1
36957,27977,54006,61757,17067,40052,64788,9163,0
8086,41104,62077,11449,60907,35881,48902,57028,1
56718,15649,3009,57372,54863,56637,57519,60381,0
15431,32378,47711,39652,34328,58526,16957,8379,1
12740,40469,851,52805,12951,20560,45009,52502,0
9876,10917,53325,21404,63193,31033,3121,33745,1
6691,48008,48181,11718,42518,38478,41387,37363,0
61713,1500,6919,19142,59926,20250,62669,20929,1
2634,31411,54081,51450,55563,45641,28921,7099,0
54287,15729,25948,5447,45395,10294,59774,28699,1
52503,47539,2641,52755,51014,30624,29860,50242,0
25327,45701,41803,35308,49572,15209,53354,10919,1
7197,64330,3506,36619,4527,29761,59223,33465,0
50945,39931,9237,63583,58132,25508,23802,56394,1
28304,16604,38610,11047,63554,27643,11852,48629,0
10870,7539,22700,51091,29402,56032,14085,40767,1
24189,9272,60675,61219,45950,51995,31301,544,0
5802,1919,12064,18267,14730,16420,4565,26747,1
46262,6893,22537,37226,60607,35719,44635,51555,0
19944,37965,8049,55528,21145,19621,55717,51097,1
35779,11085,32283,30993,62936,21084,41102,1802,0
21010,53464,56263,19318,35285,39854,33482,37041,1
22363,55839,9782,65053,29037,9218,36164,55339,0
23097,10819,3229,16930,22180,26721,28794,20159,1
58542,21708,1581,63467,57987,41767,45154,61894,0
25738,55960,60602,2863,34864,53687,48658,59285,1
60868,13158,30181,6065,38945,9431,56994,25172,0
23491,38923,39635,2491,49424,37296,50120,37736,1
46112,28365,65192,20501,19080,16088,56045,44733,0
18997,26006,14574,53681,29403,46119,12195,59743,1
4081,64636,36368,11852,33249,53808,62349,41052,0
11588,52087,18748,32551,25720,46160,58931,13851,1
28075,35268,5377,53024,30890,18148,58479,55841,0
49237,59848,59337,22348,10140,48772,10653,45189,1
12720,32666,54105,60539,58089,37857,20010,16162,0
15241,39897,40406,15791,42591,42614,41040,41081,1
29762,28402,52022,725,49012,27687,6832,51683,0
25411,59066,4821,38294,29078,29484,34297,34627,1
59514,64895,44820,5489,18286,59406,5381,47717,0
16444,15048,6985,35989,23413,46685,31476,38876,1
27174,30107,9466,7204,20188,27071,8125,14558,0
11754,50241,4405,29959,15583,45382,59819,25650,1
18672,59475,50277,20102,35989,42709,41123,35555,0
3266,13479,27821,15228,24687,4059,14437,22481,1
31242,17914,46910,49622,52532,33836,16368,30440,0
23801,31030,7290,8945,16515,23495,9679,16011,1
17449,30954,42191,36572,57574,63030,15555,10771,0
25948,32281,52821,36992,43785,61081,6981,24277,1
63384,59822,33955,44037,29499,17835,7734,10406,0
62815,17667,20020,29506,47979,13889,45148,15734,1
7881,17988,42080,14090,47785,29006,22669,37738,0
34998,16876,20968,47930,55646,64214,51546,60114,1
28498,33275,47028,21116,55526,54151,61097,58824,0
51275,42044,49585,42463,2554,483,27767,25710,1
24500,44111,12954,12186,27950,33749,62459,7424,0
18788,55924,42558,13515,61274,61119,37648,37621,1
21012,65361,24739,39350,12983,26343,44357,63765,0
55610,9495,11194,59050,62080,50109,64557,52496,1
16936,13605,64228,53414,47308,58755,30477,10818,0
34762,32636,49534,645,18100,32249,63670,50171,1
5340,7791,59385,9191,62245,15752,2739,50206,0
43398,61812,9083,41849,35581,21005,22770,32770,1
53438,7062,9256,30487,62614,27777,52008,21311,0
26784,34424,8652,25675,18796,57907,61144,17799,1
38945,16476,21343,36790,52094,53226,55421,56553,0
33124,13077,1198,28042,34250,24223,45681,26916,1
276,3352,2577,10856,2821,10096,3084,8313,0
33703,30143,37526,55631,4401,44272,63000,19417,1
47419,42072,53488,42570,27083,530,7523,30394,0
57623,47441,52043,7226,10844,42347,22598,55153,1
49598,56173,54204,62621,4610,12272,6867,10017,0
38122,61909,56216,38129,20338,25892,25919,20329,1
60196,44942,24615,16646,35587,61064,17578,8481,0
10734,37355,36362,18606,42980,55621,47109,50852,1
40652,510,53365,44143,20153,44433,40754,31770,0
44408,61240,12659,20870,39947,48830,16960,24821,1
8370,63573,35005,34699,43023,32734,55527,3894,0
4332,63492,45324,58410,41440,7214,59624,21798,1
11274,13767,15736,10010,4466,4829,6605,6754,0
13634,33888,59244,30042,53806,61754,45346,37430,1
55974,25138,58681,7497,16287,32635,47252,63600,0
4864,23979,11948,65460,15788,41503,20139,53528,1
19367,55266,18197,34723,3250,20545,40005,49334,0
26701,10926,43942,52730,50155,59220,17123,26204,1
45598,50146,50521,732,30535,49470,29180,51077,0
36253,13161,40727,3396,4746,15917,48884,37459,1
27313,781,37143,32461,64422,32192,27068,61402,0
51628,54983,33224,38451,18532,16628,8043,6139,1
49693,61037,12923,44772,61542,16521,11376,40095,0
57536,42834,4051,32988,61203,10126,18322,36623,1
12957,55312,50281,59822,63220,12734,60045,11719,0
26991,38394,47545,22206,53462,49988,64661,61191,1
3892,15610,19130,64494,17806,50964,13262,45396,0
