# key_policy=per_sample_key rounds=5 n_pairs=10000 seed=100004
c0l,c0r,c1l,c1r,delta_left,delta_right,v0,v1,label
58490,18736,64124,884,7686,19012,44362,63752,1
26445,3051,24964,16054,1737,13661,27814,24370,0
46415,12106,52445,35499,31122,42465,39429,18038,1
30552,17216,29443,33280,1115,49472,13336,61699,0
932,18615,12958,60556,12602,42043,19219,56850,1
13114,26677,33491,5150,45545,31787,23311,38605,0
7963,23608,40901,43028,32990,62508,17187,14289,1
33278,22397,47773,38143,15203,50050,54915,11874,0
26161,16873,14407,52093,24182,35476,10200,62266,1
60109,17605,50426,60876,11831,43273,44552,10550,0
29992,30068,14530,17452,19946,12632,92,31982,1
24415,35153,10182,38352,30873,7297,54798,45590,0
56491,22856,17545,40408,38946,50320,34275,55633,1
8272,57446,16939,15958,25211,56880,49206,31869,0
46078,62539,50140,20635,28706,42192,18357,37703,1
16510,34375,1549,51694,18035,20393,50745,53219,0
17580,11486,47750,34422,65066,43688,26738,15600,1
49230,59946,28495,52911,44801,9349,10852,41440,0
37410,32835,14291,13158,42481,45861,4705,1205,1
40440,34122,28392,32298,62224,64352,6322,4290,0
64872,21115,28451,16192,37451,27963,44819,20579,1
17206,34437,42344,22370,58974,53735,50611,61962,0
14050,14727,41712,43303,37906,37024,3941,3031,1
5761,64393,17762,28909,21475,35684,60680,13711,0
45581,54603,29027,8774,50030,63245,26438,21285,1
8633,51950,35086,23221,43191,36955,60247,54203,0
28228,33228,33226,31584,61326,64172,61320,64170,1
57027,46132,52281,38060,4858,8344,27383,22677,0
34104,60225,49763,8306,18267,52019,28281,57873,1
60689,37200,55589,62371,13364,25331,31809,10886,0
3205,29576,5002,30787,7951,3019,32525,27593,1
2695,49611,6736,30763,4311,47584,52044,25211,0
10711,56156,32145,19064,21574,37156,62091,14313,1
27243,5831,54004,52421,47263,55810,31916,7729,0
49200,30279,4698,51327,53866,48696,46711,55845,1
28024,56050,17389,33587,11925,22977,46986,49374,0
1070,43817,4040,42330,3046,3699,44807,43666,1
48118,28049,15788,28191,34394,910,54887,21427,0
13948,33040,35474,53039,48366,20031,46956,17853,1
39591,39640,32184,52459,59167,22067,127,45395,0
21644,27784,42102,59632,61690,33912,14340,19590,1
8927,42193,23093,17353,30954,59160,34318,6652,0
6931,13618,1489,65361,7874,51811,11809,64128,1
17885,38288,31219,7879,15406,35671,53325,26420,0
5716,36964,48222,22236,43530,50872,34352,60034,1
33390,41647,58832,38164,26558,14267,8385,28868,0
23851,52827,49922,27392,40489,42331,37744,43010,1
33601,8180,12118,37453,44055,36281,40117,48411,0
34998,44833,31460,29171,62034,57042,10135,2839,1
36848,28591,15464,8501,45976,20122,57439,7517,0
33720,56926,6590,6218,39430,50708,24038,500,1
40534,43279,55302,25904,18000,52287,14169,48438,0
20229,14668,40139,40896,54222,42636,30281,779,1
50823,1658,17349,45744,34114,46282,49405,61813,0
43115,48828,5141,1600,48254,47356,5847,4693,1
50018,31530,31152,35185,47826,62043,47176,61633,0
42424,53809,22514,25737,62026,46776,30601,13179,1
45655,43720,31138,18040,52213,60592,6303,16346,0
60178,62742,11256,16846,49386,46296,7684,27190,1
19180,45299,6530,58493,21358,21646,64031,65023,0
17735,22511,12057,4579,27230,17932,4776,16122,1
45186,29556,21172,31742,57910,2186,50166,10570,0
34215,24776,1533,37968,32858,62616,58735,37293,1
23758,1400,60897,63101,45359,62213,22966,7068,0
40015,17596,23925,2421,49466,19913,55539,21504,1
52195,16839,37395,1528,23024,17471,35364,38891,0
333,3621,29539,12441,29230,16060,3944,17402,1
3325,44347,50635,23346,51510,62985,41414,40697,0
14596,8078,49394,60018,63990,62972,9866,10880,1
2871,13334,38915,24362,37684,27452,16161,50985,0
3978,53720,29860,7877,31534,53021,56914,27233,1
47931,52545,64288,41054,16411,27935,30330,23422,0
4974,15918,51068,46798,54290,35040,11584,29106,1
23483,61699,28826,11768,11041,56571,43704,23906,0
8354,52354,24448,63203,32546,14945,60448,43363,1
45143,29813,21214,61373,57993,39880,50210,48483,0
36299,13075,9204,64012,44607,51487,48856,55800,1
43386,37925,52458,9499,26000,45374,15711,59889,0
39872,35597,982,16297,38934,46244,4301,15487,1
25886,14992,588,25995,26450,24347,24462,26567,0
1613,2019,35951,8467,35362,9968,430,44412,1
55175,28751,24976,8113,46615,28670,42952,32289,0
5056,418,37866,62730,32810,62632,4706,26336,1
14745,65383,7708,4511,10117,61176,50942,3971,0
40673,37644,40335,19903,878,57011,3565,53296,1
43684,14307,26716,31372,49912,19823,40263,4816,0
28776,57436,11979,46269,24227,21729,36916,39542,1
4400,19226,39480,16,35592,19210,23082,39464,0
34030,54848,62716,53952,28690,1152,21166,9788,1
47790,23652,12643,13144,35789,28476,59082,571,0
27871,51278,13312,11305,22751,58471,42129,6185,1
